Date;Temp_max;Temp_min;Temp_avr;Precipitation;Snow_depth
01/01/2018;29;18;23.5;0.00;0
02/01/2018;36;13;24.5;0.00;0
03/01/2018;39;27;33.0;0.00;0
04/01/2018;35;20;27.5;0.00;0
05/01/2018;39;17;28.0;0.00;0
06/01/2018;40;21;30.5;0.00;0
07/01/2018;40;21;30.5;0.00;0
08/01/2018;43;31;37.0;0.27;0
09/01/2018;65;36;50.5;0.00;0
10/01/2018;65;53;59.0;0.00;0
11/01/2018;60;53;56.5;0.06;0
12/01/2018;62;28;45.0;0.52;0
13/01/2018;37;23;30.0;0.00;0
14/01/2018;42;18;30.0;0.00;0
15/01/2018;49;26;37.5;0.00;0
16/01/2018;50;27;38.5;0.01;0
17/01/2018;27;14;20.5;0.14;2
18/01/2018;41;15;28.0;0.00;2
19/01/2018;55;26;40.5;0.00;1
20/01/2018;64;33;48.5;0.00;0
21/01/2018;69;39;54.0;0.00;0
22/01/2018;62;47;54.5;0.83;0
23/01/2018;63;40;51.5;0.00;0
24/01/2018;53;35;44.0;0.00;0
25/01/2018;58;32;45.0;0.00;0
26/01/2018;58;35;46.5;0.00;0
27/01/2018;57;49;53.0;0.06;0
28/01/2018;57;53;55.0;1.35;0
29/01/2018;57;42;49.5;0.02;0
30/01/2018;46;30;38.0;0.00;0
31/01/2018;56;29;42.5;0.00;0
01/02/2018;64;40;52.0;0.08;0
02/02/2018;46;32;39.0;0.01;0
03/02/2018;50;32;41.0;0.00;0
04/02/2018;48;35;41.5;1.43;0
05/02/2018;53;38;45.5;0.00;0
06/02/2018;69;40;54.5;0.00;0
07/02/2018;62;41;51.5;1.68;0
08/02/2018;59;33;46.0;0.00;0
09/02/2018;63;37;50.0;0.55;0
10/02/2018;65;51;58.0;0.36;0
11/02/2018;67;61;64.0;0.67;0
12/02/2018;62;50;56.0;0.04;0
13/02/2018;56;47;51.5;0.01;0
14/02/2018;60;48;54.0;0.00;0
15/02/2018;70;59;64.5;0.02;0
16/02/2018;75;55;65.0;0.02;0
17/02/2018;77;51;64.0;0.02;0
18/02/2018;66;48;57.0;0.03;0
19/02/2018;76;59;67.5;0.01;0
20/02/2018;75;58;66.5;0.00;0
21/02/2018;77;65;71.0;0.05;0
22/02/2018;79;63;71.0;0.00;0
23/02/2018;78;60;69.0;0.00;0
24/02/2018;79;63;71.0;0.00;0
25/02/2018;69;59;64.0;0.30;0
26/02/2018;66;49;57.5;0.51;0
27/02/2018;65;45;55.0;0.00;0
28/02/2018;64;51;57.5;0.32;0
01/03/2018;73;54;63.5;0.16;0
02/03/2018;58;45;51.5;0.00;0
03/03/2018;64;37;50.5;0.00;0
04/03/2018;67;38;52.5;0.00;0
05/03/2018;59;44;51.5;0.00;0
06/03/2018;60;49;54.5;0.71;0
07/03/2018;50;39;44.5;0.00;0
08/03/2018;49;31;40.0;0.00;0
09/03/2018;61;30;45.5;0.00;0
10/03/2018;67;40;53.5;0.00;0
11/03/2018;57;53;55.0;0.97;0
12/03/2018;53;39;46.0;0.13;0
13/03/2018;54;35;44.5;0.00;0
14/03/2018;52;35;43.5;0.00;0
15/03/2018;68;34;51.0;0.00;0
16/03/2018;71;46;58.5;0.00;0
17/03/2018;75;54;64.5;0.01;0
18/03/2018;77;57;67.0;0.03;0
19/03/2018;66;57;61.5;1.41;0
20/03/2018;70;46;58.0;0.13;0
21/03/2018;51;36;43.5;0.00;0
22/03/2018;57;34;45.5;0.00;0
23/03/2018;64;38;51.0;0.00;0
24/03/2018;74;51;62.5;0.00;0
25/03/2018;69;43;56.0;0.38;0
26/03/2018;49;45;47.0;0.00;0
27/03/2018;60;46;53.0;0.00;0
28/03/2018;76;48;62.0;0.00;0
29/03/2018;76;57;66.5;0.93;0
30/03/2018;65;51;58.0;0.00;0
31/03/2018;68;44;56.0;0.00;0
01/04/2018;77;47;62.0;0.00;0
02/04/2018;81;56;68.5;0.00;0
03/04/2018;80;58;69.0;0.00;0
04/04/2018;70;47;58.5;0.23;0
05/04/2018;66;38;52.0;0.00;0
06/04/2018;74;50;62.0;0.02;0
07/04/2018;60;39;49.5;0.05;0
08/04/2018;55;38;46.5;0.00;0
09/04/2018;59;46;52.5;0.10;0
10/04/2018;70;50;60.0;0.00;0
11/04/2018;70;44;57.0;0.00;0
12/04/2018;77;50;63.5;0.00;0
13/04/2018;80;53;66.5;0.00;0
14/04/2018;80;61;70.5;0.00;0
15/04/2018;72;42;57.0;1.09;0
16/04/2018;53;38;45.5;0.00;0
17/04/2018;76;36;56.0;0.00;0
18/04/2018;83;53;68.0;0.00;0
19/04/2018;68;50;59.0;0.00;0
20/04/2018;68;44;56.0;0.00;0
21/04/2018;72;46;59.0;0.00;0
22/04/2018;62;58;60.0;0.57;0
23/04/2018;69;58;63.5;4.16;0
24/04/2018;70;58;64.0;0.02;0
25/04/2018;68;54;61.0;0.00;0
26/04/2018;60;51;55.5;0.29;0
27/04/2018;72;52;62.0;0.00;0
28/04/2018;78;52;65.0;0.00;0
29/04/2018;71;51;61.0;0.00;0
30/04/2018;75;49;62.0;0.00;0
01/05/2018;80;54;67.0;0.00;0
02/05/2018;82;58;70.0;0.00;0
03/05/2018;83;59;71.0;0.00;0
04/05/2018;83;59;71.0;0.00;0
05/05/2018;78;66;72.0;0.00;0
06/05/2018;80;60;70.0;0.00;0
07/05/2018;83;61;72.0;0.00;0
08/05/2018;79;61;70.0;0.02;0
09/05/2018;85;62;73.5;0.00;0
10/05/2018;88;63;75.5;0.07;0
11/05/2018;89;62;75.5;0.00;0
12/05/2018;90;68;79.0;0.00;0
13/05/2018;91;67;79.0;0.00;0
14/05/2018;91;69;80.0;0.00;0
15/05/2018;78;69;73.5;0.56;0
16/05/2018;76;69;72.5;0.53;0
17/05/2018;82;68;75.0;0.12;0
18/05/2018;83;66;74.5;0.00;0
19/05/2018;86;70;78.0;0.00;0
20/05/2018;86;68;77.0;1.09;0
21/05/2018;83;66;74.5;0.18;0
22/05/2018;84;69;76.5;0.49;0
23/05/2018;84;69;76.5;0.29;0
24/05/2018;86;70;78.0;0.08;0
25/05/2018;83;70;76.5;0.01;0
26/05/2018;85;69;77.0;0.00;0
27/05/2018;83;70;76.5;0.04;0
28/05/2018;85;69;77.0;0.52;0
29/05/2018;82;70;76.0;0.40;0
30/05/2018;82;71;76.5;0.05;0
31/05/2018;87;71;79.0;0.00;0
01/06/2018;89;68;78.5;0.53;0
02/06/2018;89;68;78.5;0.03;0
03/06/2018;92;72;82.0;0.01;0
04/06/2018;85;66;75.5;0.00;0
05/06/2018;83;63;73.0;0.00;0
06/06/2018;91;63;77.0;0.00;0
07/06/2018;89;69;79.0;0.00;0
08/06/2018;90;73;81.5;0.01;0
09/06/2018;90;70;80.0;0.00;0
10/06/2018;89;68;78.5;0.00;0
11/06/2018;88;70;79.0;0.04;0
12/06/2018;84;69;76.5;0.00;0
13/06/2018;88;72;80.0;1.14;0
14/06/2018;88;71;79.5;0.00;0
15/06/2018;91;72;81.5;0.38;0
16/06/2018;91;73;82.0;0.00;0
17/06/2018;89;71;80.0;0.00;0
18/06/2018;91;71;81.0;0.00;0
19/06/2018;93;75;84.0;0.00;0
20/06/2018;93;75;84.0;0.00;0
21/06/2018;88;74;81.0;0.01;0
22/06/2018;91;72;81.5;0.47;0
23/06/2018;83;72;77.5;0.18;0
24/06/2018;92;74;83.0;0.00;0
25/06/2018;91;71;81.0;0.71;0
26/06/2018;92;69;80.5;0.00;0
27/06/2018;90;71;80.5;0.18;0
28/06/2018;86;68;77.0;0.17;0
29/06/2018;90;67;78.5;0.00;0
30/06/2018;90;74;82.0;0.00;0
01/07/2018;87;73;80.0;0.06;0
02/07/2018;88;74;81.0;0.01;0
03/07/2018;92;73;82.5;0.00;0
04/07/2018;91;74;82.5;0.17;0
05/07/2018;89;75;82.0;0.00;0
06/07/2018;90;72;81.0;0.10;0
07/07/2018;88;71;79.5;0.00;0
08/07/2018;85;71;78.0;0.00;0
09/07/2018;91;70;80.5;0.00;0
10/07/2018;93;71;82.0;0.00;0
11/07/2018;93;73;83.0;0.00;0
12/07/2018;94;77;85.5;0.00;0
13/07/2018;90;76;83.0;1.02;0
14/07/2018;89;75;82.0;3.00;0
15/07/2018;90;74;82.0;0.01;0
16/07/2018;89;73;81.0;0.37;0
17/07/2018;91;73;82.0;0.00;0
18/07/2018;93;74;83.5;0.00;0
19/07/2018;91;74;82.5;0.04;0
20/07/2018;87;74;80.5;0.00;0
21/07/2018;90;68;79.0;1.21;0
22/07/2018;87;69;78.0;0.15;0
23/07/2018;85;68;76.5;0.80;0
24/07/2018;86;71;78.5;0.02;0
25/07/2018;89;72;80.5;0.00;0
26/07/2018;91;70;80.5;0.00;0
27/07/2018;91;71;81.0;0.00;0
28/07/2018;90;72;81.0;0.00;0
29/07/2018;89;68;78.5;0.00;0
30/07/2018;88;72;80.0;0.00;0
31/07/2018;87;70;78.5;1.08;0
01/08/2018;76;70;73.0;1.22;0
02/08/2018;77;71;74.0;3.61;0
03/08/2018;87;71;79.0;0.10;0
04/08/2018;89;73;81.0;0.00;0
05/08/2018;92;75;83.5;0.01;0
06/08/2018;93;76;84.5;0.00;0
